structure,cluster
..\10_XTB\00_Alanine_zwitterion\case_001\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_002\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_003\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_004\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_007\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_008\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_009\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_010\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_011\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_012\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_014\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_016\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_019\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_020\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_021\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_023\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_024\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_026\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_028\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_029\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_030\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_032\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_033\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_034\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_035\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_038\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_039\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_040\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_042\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_044\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_045\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_046\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_047\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_048\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_049\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_050\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_053\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_054\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_055\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_056\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_057\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_058\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_059\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_062\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_063\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_065\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_066\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_067\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_070\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_071\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_072\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_073\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_074\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_075\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_076\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_077\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_079\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_081\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_082\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_083\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_084\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_085\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_086\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_087\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_088\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_090\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_091\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_094\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_096\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_098\xtbopt.xyz,0
..\10_XTB\00_Alanine_zwitterion\case_099\xtbopt.xyz,-1
..\10_XTB\00_Alanine_zwitterion\case_100\xtbopt.xyz,0
..\10_XTB\01_Alanine_zwitterion\case_001\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_003\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_004\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_006\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_008\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_009\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_010\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_016\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_018\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_019\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_020\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_021\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_023\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_025\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_026\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_027\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_029\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_033\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_034\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_035\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_038\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_039\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_040\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_042\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_044\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_047\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_049\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_050\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_052\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_053\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_055\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_057\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_058\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_059\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_062\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_063\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_064\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_065\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_066\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_067\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_070\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_072\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_074\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_075\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_076\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_077\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_078\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_079\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_080\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_082\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_083\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_084\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_087\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_088\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_089\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_090\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_091\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_095\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_096\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_097\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_098\xtbopt.xyz,1
..\10_XTB\01_Alanine_zwitterion\case_099\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_001\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_003\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_004\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_009\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_010\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_011\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_012\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_014\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_016\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_018\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_019\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_020\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_021\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_023\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_025\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_027\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_029\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_033\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_034\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_035\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_038\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_042\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_044\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_046\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_049\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_051\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_052\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_053\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_055\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_056\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_057\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_058\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_059\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_062\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_063\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_065\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_066\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_067\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_068\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_070\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_072\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_073\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_074\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_075\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_076\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_077\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_078\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_079\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_080\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_081\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_082\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_084\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_087\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_088\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_090\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_091\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_095\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_096\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_097\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_098\xtbopt.xyz,1
..\10_XTB\02_Alanine_zwitterion\case_099\xtbopt.xyz,1
